Customer_id,date,time,order_id,items,amount,mode,restaurnt,Status,ratings,feedback
JXJY167254JK,11/10/2023,8.31.21,654S654,PiZza:Marga?ritA:WATERZOOI:Crispy Onion Rings,21,Wallet,Brussels Mussels ,Delivered,2,Late delivery
JXJY167254JK,11/10/2023,9.31.21,2444454,Noodles:Pizza:BREAD,97,Card,Saint German,Delivered,3,Stale food
XVTR474839TP,11/10/2023,4.31.31,397T397,Fried Rice:salaD,46,Card,Brussels Mussels ,Delivered,3,Complicated procedure
UFDF355524DM,11/10/2023,5.31.21,428K428,noo%dles:,71,Card,Gaspar's,Delivered,1,Food not good
FRBT691245BA,11/10/2023,6.31.21,437M437,Soup of the day:,29,Online,Sushi Masters,Delivered,1,Stale food
QTSI285174SG,11/10/2023,8.31.21,106S106,Fried Rice:,59,Cash,Stebuklai,Delivered,2,Complicated procedure
OXJY167254JK,11/10/2023,8.11.21,854A854,Olives:,65,Cash,Saint German,Not delivered,5,Awesome experience
SAMV824387MW,11/10/2023,8.31.21,751C751,Quiche:,28,Wallet,Telegrafas,Delivered,2,Difficult to order
LRKI603654KL,11/10/2023,8.31.21,742G742,Bread:,86,Card,Da Antonio,Delivered,1,Difficult to order
FRBT691245BA,11/10/2023,8.31.21,103Y103,RAVIOLI:,94,Online,Augustin,Delivered,2,Late delivery
FSAM929386AQ,11/10/2023,8.31.21,208U208,tuna steak:,33,Wallet,Brussels Mussels ,Delivered,2,Difficult to order
FRBT691245BA,11/10/2023,8.31.21,819Q819,Regular:,86,Cash,Telegrafas,Delivered,4,Cheap and best
UFDF355524DM,11/10/2023,8.31.21,107K107,fries:,50,Card,Sushi Masters,Delivered,4,Delicious food
FSAM929386AQ,11/10/2023,8.31.21,671T671,BURRATA DI BUFALA:,82,Card,Gaspar's,On Hold,5,Good service
QTSI285174SG,11/10/2023,8.31.21,195K195,Crispy Onion Rings:,40,Cash,Gaspar's,Delivered,1,High price
QTSI285174SG,11/10/2023,8.31.21,952U952,pickle:,29,Online,Stebuklai,Delivered,3,Complicated procedure
LRKI603654KL,11/10/2023,8.31.21,833E833,shake:,33,Cash,Brussels Mussels ,Delivered,3,Coupon applied
UFDF355524DM,11/10/2023,8.31.21,139A139,Benedict:,69,Cash,Augustin,Delivered,1,High price
SBXX592702XP,11/10/2023,8.31.21,256A256,Mango Cremeux:,92,Wallet,Da Antonio,Delivered,4,Delicious food
FRBT691245BA,11/10/2023,8.31.21,186Q186,salad:,61,Online,Da Antonio,Cancelled,2,Stale food
LJBO9511000BL,11/10/2023,8.31.21,956U956,Banana shake:,87,Cash,Demoloftas,Cancelled,4,Cheap and best
SAMV824387MW,11/10/2023,8.31.21,506K506,salad:,37,Online,Gaspar's,Cancelled,4,Good service
LRKI603654KL,11/10/2023,8.31.21,739A739,Quiche:,51,Card,Augustin,Cancelled,2,High price
OXJY167254JK,11/10/2023,8.31.21,428U428,meatballs:,53,Cash,Telegrafas,Cancelled,3,Stale food
FRBT691245BA,11/10/2023,8.31.21,902L902,Veg Premium Burger:,58,Wallet,Sushi Masters,Delivered,5,Good service
UYXR411673XC,11/10/2023,8.31.21,683T683,tuna steak:,93,Cash,Gaspar's,Delivered,2,Stale food
SAMV824387MW,11/10/2023,8.31.21,635C635,salad:,31,Cash,Brussels Mussels ,Delivered,3,Late delivery
FSAM929386AQ,11/10/2023,8.31.21,680J680,lamb:,678,Wallet,Le Travi,Delivered,5,Awesome experience
SBXX592702XP,11/10/2023,8.31.21,723V723,lamb:,80,Cash,Augustin,Delivered,5,Delicious food
UYXR411673XC,11/10/2023,8.31.21,567U567,Curd:,70,Card,Le Travi,Delivered,2,Difficult to order
SAMV824387MW,11/10/2023,8.31.21,148W148,Mango shake:,64,Online,Veranda,Delivered,5,Easy to order
FSAM929386AQ,11/10/2023,8.31.21,391A391,Burrata salad:,76,Cash,Saint German,Delivered,2,Late delivery
XVTR474839TP,11/10/2023,8.31.21,131W131,Regular:,66,Cash,Sushi Masters,Delivered,5,Awesome experience
XVTR474839TP,11/10/2023,8.31.21,864V864,RAVIOLI:,45,Online,Telegrafas,Delivered,2,Coupon applied
LRKI603654KL,11/10/2023,8.31.21,538H538,shake:,56,Card,Le Travi,Delivered,1,Coupon applied
UYXR411673XC,11/10/2023,8.31.21,481Q481,BURRATA DI BUFALA:,68,Card,Veranda,Delivered,4,Worth
QTSI285174SG,11/10/2023,8.31.21,382X382,Burrata salad:,57,Card,Saint German,Delivered,3,Delivery boy didnt come at doorstep
UFDF355524DM,11/10/2023,8.31.21,582O582,fries:,82,Cash,Le Travi,Delivered,5,Fast delivery
FRBT691245BA,11/10/2023,8.31.21,889S889,pickle:,39,Wallet,Telegrafas,Delivered,5,Awesome experience
SAMV824387MW,11/10/2023,8.31.21,660E660,Veg Premium Burger:,89,Card,Veranda,Delivered,3,High price
LJBO9511000BL,11/10/2023,8.31.21,936X936,Bread:,92,Online,Augustin,Delivered,2,High price
JXJY167254JK,11/10/2023,8.31.21,954S654,Scallops:RAVIOLI:Benedict,77,Wallet,Le Travi,Delivered,3,Late delivery
JXJY167254JK,11/10/2023,8.31.21,154S644,Quiche:Noodles:Bread,123,Card,Sushi Masters,Not delivered,4,Will order again
FRBT691245BA,11/10/2023,8.31.21,579N579,salad:,62,Online,Stebuklai,Not delivered,2,Delivery boy didnt come at doorstep
UYXR411673XC,11/10/2023,8.31.21,253O253,BURRATA DI BUFALA:,70,Card,Brussels Mussels ,Not delivered,2,High price
XVTR474839TP,11/10/2023,8.31.21,704P704,tartlet:,26,Wallet,Le Travi,Not delivered,3,Delivery boy didnt come at doorstep
OXJY167254JK,11/10/2023,8.31.21,866Q866,BURRATA DI BUFALA:,66,Wallet,Brussels Mussels ,Not delivered,2,Late delivery
LJBO9511000BL,11/10/2023,8.31.21,152I152,Banana shake:,50,Cash,Telegrafas,Not delivered,2,Difficult to order
SBXX592702XP,11/10/2023,8.31.21,837W837,tartlet:,74,Card,Gaspar's,Delivered,1,Coupon applied
FRBT691245BA,11/10/2023,8.31.21,200B200,Noodles:,36,Wallet,Sushi Masters,Delivered,4,Complicated procedure
UYXR411673XC,11/10/2023,8.31.21,358R358,salad:,83,Card,Stebuklai,Delivered,1,Complicated procedure
UYXR411673XC,11/10/2023,8.31.21,537J537,Mango shake:,49,Online,Selfish,Delivered,2,Complicated procedure
